area,floor,rooms,year_built,construction_type,district,price
35,3,1,1973,prefabricated,Kalininsky,3.4
64,8,3,1987,prefabricated,Kalininsky,6.5
90,18,2,2011,brick,Kalininsky,14
53,3,1,2014,brick,Kalininsky,7
53,7,2,1988,prefabricated,Kalininsky,4.5
51,10,2,1987,prefabricated,Kalininsky,4.1
106,10,3,2001,prefabricated,Kalininsky,10.5
40,8,1,1986,prefabricated,Kalininsky,4.2
53,1,2,1990,prefabricated,Kalininsky,5
103,3,3,2002,prefabricated,Kalininsky,8.6
50,4,2,1991,prefabricated,Kalininsky,5.1
68,10,3,1990,prefabricated,Kalininsky,6.6
140,4,3,2004,prefabricated,Kalininsky,12
86,3,2,2014,brick,Kalininsky,12
94,6,3,2015,brick,Kalininsky,14
56,12,2,2014,prefabricated,Kalininsky,7
64,7,2,2023,prefabricated,Kalininsky,9.25
34,1,1,1992,prefabricated,Kalininsky,3.4
42,2,1,1992,prefabricated,Kalininsky,3.3
40,4,1,2006,prefabricated,Kalininsky,4.3
58,5,2,1999,prefabricated,Sovetsky,6
68,12,2,2017,brick,Sovetsky,8.15
41,9,1,1984,brick,Sovetsky,4.5
44,5,2,1967,prefabricated,Sovetsky,54
103,2,2,2013,brick,Sovetsky,12.8
57,3,3,1963,brick,Sovetsky,6.15
43,7,2,1972,brick,Sovetsky,4.6
70,2,3,1999,prefabricated,Sovetsky,7.8
31,2,1,1964,prefabricated,Sovetsky,3.3
61,9,3,1985,brick,Sovetsky,6.7
75,1,2,2015,brick,Sovetsky,10.1
107,10,3,2003,prefabricated,Sovetsky,11.8
65,10,3,1991,prefabricated,Sovetsky,5.7
46,12,1,2017,brick,Sovetsky,8.3
31,4,1,1964,prefabricated,Sovetsky,3.2
44,4,2,1968,prefabricated,Sovetsky,4
48,2,2,1989,prefabricated,Sovetsky,4.3
71,13,2,2018,prefabricated,Sovetsky,9.2
103,2,2,2013,brick,Sovetsky,12.8
101,17,2,2009,brick,Sovetsky,8.7
32,7,1,1989,brick,Leninsky,3.5
50,9,2,1988,prefabricated,Leninsky,4.2
61,1,3,1963,brick,Leninsky,4.5
60,4,2,1952,brick,Leninsky,5.4
41,2,2,1961,prefabricated,Leninsky,4.3
68,8,3,1975,prefabricated,Leninsky,5.1
64,8,2,2012,prefabricated,Leninsky,7.8
66,3,2,1933,brick,Leninsky,4.45
73,2,3,1932,brick,Leninsky,5.3
42,3,1,1989,prefabricated,Leninsky,3.8
32,6,1,1992,prefabricated,Leninsky,3.2
46,7,2,1994,brick,Leninsky,3.75
60,4,2,1952,brick,Leninsky,5.4
52,4,2,1990,prefabricated,Leninsky,4.65
35,4,1,1988,prefabricated,Leninsky,3.25
43,9,1,1986,prefabricated,Leninsky,3.25
31,1,1,1969,prefabricated,Leninsky,3.25
34,1,1,1987,prefabricated,Leninsky,4.1
32,7,1,1985,prefabricated,Leninsky,2.9
44,1,2,1969,prefabricated,Leninsky,3.1
107,3,3,2014,brick,Tsentral'ny,20.45
72,4,3,2014,brick,Tsentral'ny,13.6
107,2,3,1999,brick,Tsentral'ny,14.5
44,2,2,1970,brick,Tsentral'ny,7.8
52,1,2,1979,prefabricated,Tsentral'ny,4.85
21,4,1,1978,brick,Tsentral'ny,2.9
45,1,2,1967,prefabricated,Tsentral'ny,4.5
63,3,3,1966,prefabricated,Tsentral'ny,6.15
67,11,2,2012,brick,Tsentral'ny,9.4
34,9,1,1978,prefabricated,Tsentral'ny,3.65
60,3,2,1957,brick,Tsentral'ny,6.6
111,7,3,1998,prefabricated,Tsentral'ny,13.85
30,4,1,1968,brick,Tsentral'ny,3.5
33,4,1,1982,prefabricated,Tsentral'ny,4.2
104,4,3,2000,prefabricated,Tsentral'ny,15
66,7,2,2020,brick,Tsentral'ny,9.9
32,4,1,1966,prefabricated,Tsentral'ny,4.15
47,1,2,1969,brick,Tsentral'ny,4.65
81,4,2,2008,brick,Traktorozavodsky,10.7
72,1,2,2011,prefabricated,Traktorozavodsky,7.3
89,1,2,2004,brick,Traktorozavodsky,6.5
31,4,1,1985,prefabricated,Traktorozavodsky,3.6
32,5,1,1989,prefabricated,Traktorozavodsky,3.15
58,2,2,1959,prefabricated,Traktorozavodsky,4.35
73,2,1,1956,brick,Traktorozavodsky,3.2
51,9,2,1989,prefabricated,Traktorozavodsky,4.8
65,3,3,1990,brick,Traktorozavodsky,7.15
65,3,3,1974,prefabricated,Traktorozavodsky,5
40,10,1,2008,prefabricated,Traktorozavodsky,4.05
107,4,3,2012,prefabricated,Traktorozavodsky,9.6
43,9,1,1983,prefabricated,Traktorozavodsky,3.9
57,3,2,1958,prefabricated,Traktorozavodsky,4.3
41,3,2,1960,brick,Traktorozavodsky,3.7
86,9,3,2009,prefabricated,Traktorozavodsky,6.6
57,2,3,1973,prefabricated,Traktorozavodsky,4.4
50,7,2,1982,prefabricated,Traktorozavodsky,3.2
50,8,2,1975,prefabricated,Traktorozavodsky,4.5
66,7,3,1962,prefabricated,Traktorozavodsky,6.5
42,7,1,1987,prefabricated,Traktorozavodsky,3.5
